candidate_id,rank,score,reasoning
CAND_0008425,1,297.35,Senior NLP Engineer | Production ML at scale | 7.8+ yrs with 7.8+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 330. Semantic Match: 55.6%.
CAND_0008517,2,293.06,AI Research Engineer | 5.6 yrs in analytics & ML with 5.6+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 55.1%.
CAND_0044890,3,292.63,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 54.4%.
CAND_0033179,4,292.33,AI Research Engineer | 6.9 yrs in analytics & ML with 6.9+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 53.9%.
CAND_0081709,5,292.32,AI Research Engineer | 5.5 yrs in analytics & ML with 5.5+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 53.9%.
CAND_0089470,6,292.32,AI Research Engineer | 6.5 yrs in analytics & ML with 6.5+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 53.9%.
CAND_0075491,7,291.19,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 52.0%.
CAND_0043958,8,290.84,AI Research Engineer | 6.7 yrs in analytics & ML with 6.7+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 51.4%.
CAND_0073556,9,290.82,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 325. Semantic Match: 51.4%.
CAND_0041669,10,289.44,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 320. Semantic Match: 55.7%."
CAND_0018549,11,288.35,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 320. Semantic Match: 53.9%."
CAND_0010770,12,288.12,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 320. Semantic Match: 53.5%."
CAND_0009024,13,285.76,Search Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 56.3%.
